インデックス,始点_行,始点_列,終点_行,終点_列,図鑑ナンバー,名前
0,0,2,3,2,60,ニ◯◯◯
1,0,8,0,12,100,◯◯◯◯◯
2,0,12,4,12,101,◯◯◯イ◯
3,0,15,0,19,21,オ◯◯◯◯
4,0,17,4,17,123,◯◯◯◯◯
5,0,21,0,24,36,◯ク◯◯
6,0,23,4,23,90,◯◯◯◯◯
7,0,26,0,30,85,◯◯◯リ◯
8,0,30,4,30,139,◯◯◯◯◯
9,1,0,1,4,18,ピ◯◯◯◯
10,1,7,5,7,25,◯◯◯◯◯
11,1,20,3,20,151,ミ◯◯
12,2,10,2,14,119,◯◯◯◯◯
13,2,14,6,14,59,◯◯◯デ◯
14,2,17,2,21,26,◯◯◯◯◯
15,2,26,2,30,9,◯◯◯ク◯
16,3,1,3,4,83,◯◯◯◯
17,3,4,7,4,78,◯◯◯◯プ
18,3,9,7,9,28,◯◯ド◯◯
19,3,14,3,17,133,◯◯◯◯
20,4,0,7,0,104,◯◯カ◯
21,4,6,4,9,87,ジ◯ゴ◯
22,4,11,4,14,48,◯◯パ◯
23,4,19,8,19,71,◯◯◯ッ◯
24,4,21,4,25,144,◯◯◯◯◯
25,4,21,8,21,65,◯◯◯◯ン
26,4,27,4,30,103,◯◯◯◯
27,4,27,8,27,43,◯◯ノ◯◯
28,5,2,8,2,102,◯◯◯◯
29,5,16,8,16,117,◯◯◯◯
30,5,18,5,21,113,ラ◯◯◯
31,5,31,8,31,70,◯◯◯◯
32,6,2,6,6,69,◯◯◯ボ◯
33,6,6,10,6,147,◯◯リ◯◯
34,6,12,6,16,146,◯ァ◯◯◯
35,6,23,10,23,82,◯◯コ◯◯
36,7,0,7,2,20,◯◯◯
37,7,6,7,11,32,◯◯◯◯◯◯
38,7,10,11,10,22,◯◯ド◯ル
39,7,23,7,27,24,◯◯◯◯◯
40,8,15,8,19,47,◯◯◯◯◯
41,8,15,12,15,91,◯ル◯◯◯
42,8,27,8,31,111,◯◯◯◯◯
43,9,3,9,7,149,◯◯◯◯◯
44,9,3,13,3,141,◯ブ◯◯ス
45,9,12,12,12,93,ゴ◯◯◯
46,9,25,11,25,16,◯◯ポ
47,10,9,10,13,122,バ◯◯◯◯
48,10,17,14,17,106,◯◯◯◯◯
49,10,19,13,19,58,◯◯◯ィ
50,10,22,10,26,42,◯◯◯◯◯
51,10,22,14,22,55,◯◯◯◯◯
52,10,28,13,28,4,◯◯◯◯
53,10,31,14,31,128,◯◯◯◯◯
54,11,1,11,5,51,◯◯◯◯◯
55,11,7,14,7,13,◯◯ド◯
56,11,15,11,19,107,◯◯◯◯◯
57,11,27,11,31,120,◯◯◯マ◯
58,12,6,12,9,63,◯◯シ◯
59,12,9,15,9,95,◯◯ー◯
60,12,11,12,15,89,◯◯◯◯◯
61,12,11,16,11,108,◯◯◯◯◯
62,12,13,16,13,88,◯◯◯タ◯
63,12,19,12,22,50,◯ィ◯◯
64,12,24,14,24,79,◯◯◯
65,13,1,17,1,38,◯ュ◯◯◯
66,13,24,13,28,73,◯◯◯◯◯
67,14,4,14,7,8,◯メ◯◯
68,14,4,17,4,127,◯イ◯◯
69,14,15,14,18,96,◯◯◯◯
70,14,16,17,16,5,◯◯ー◯
71,14,18,17,18,40,◯ク◯◯
72,14,20,14,24,31,◯◯◯◯◯
73,14,20,17,20,52,◯◯◯◯
74,15,8,15,11,14,◯◯◯◯
75,15,8,19,8,129,◯◯◯◯◯
76,15,26,15,30,1,◯シ◯◯◯
77,15,26,19,26,3,◯◯◯◯◯
78,15,28,19,28,130,◯◯◯◯◯
79,16,11,16,14,115,◯◯◯◯
80,16,22,16,24,81,◯◯◯
81,16,22,19,22,54,◯◯◯◯
82,17,0,17,4,135,◯◯◯◯◯
83,17,0,20,0,145,◯◯ダ◯
84,17,6,17,10,118,ト◯◯◯ト
85,17,15,17,20,29,◯◯◯◯◯◯
86,17,15,21,15,30,◯◯◯ー◯
87,17,28,17,31,131,◯◯◯◯
88,18,13,18,15,27,◯◯◯
89,19,4,19,8,34,◯◯◯ン◯
90,19,4,22,4,61,◯◯◯◯
91,19,11,22,11,84,◯◯ド◯
92,19,17,21,17,140,◯◯◯
93,19,20,22,20,132,◯◯◯◯
94,19,22,19,26,44,◯サ◯◯◯
95,19,25,23,25,148,◯◯◯◯◯
96,19,31,22,31,125,◯レ◯◯
97,20,9,20,12,77,◯ニ◯タ
98,20,17,20,21,136,◯◯◯◯◯
99,20,27,23,27,126,◯ー◯◯
100,21,2,21,6,62,◯◯◯◯◯
101,21,2,25,2,33,◯◯◯◯ノ
102,21,8,24,8,112,サ◯◯◯
103,21,13,21,17,138,◯◯◯◯◯
104,21,13,25,13,57,◯◯◯◯◯
105,21,16,25,16,74,◯◯ツ◯◯
106,21,23,23,23,46,パ◯◯
107,22,0,25,0,143,◯◯◯◯
108,22,7,22,11,68,カ◯◯◯◯
109,22,10,26,10,99,◯◯◯◯◯
110,22,19,22,23,114,◯◯◯◯◯
111,22,19,26,19,49,◯◯◯◯◯
112,22,27,22,31,12,◯タ◯◯◯
113,22,29,26,29,2,◯◯◯◯◯
114,23,5,27,5,10,◯◯◯◯◯
115,23,23,23,27,97,◯◯◯◯◯
116,23,24,27,24,6,◯ザ◯◯◯
117,24,0,24,3,75,◯ロ◯◯
118,24,5,24,8,80,◯◯ラ◯
119,24,18,24,22,45,ラ◯◯◯◯
120,24,31,28,31,150,ミ◯◯◯◯
121,25,9,25,13,11,◯◯ン◯◯
122,25,15,25,17,142,◯◯◯
